

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
04/22/2026,"YOU SOLD OPENING TRANSACTION PUT (NOK) NOKIA OYJ ADR EACH APR 24 26 $9.5 (100 SHS) (Cash)", -NOK260424P9.5,"PUT (NOK) NOKIA OYJ ADR EACH APR 24 26 $9.5 (100 SHS)",Cash,0.2,-1,0.65,0.02,,19.33,10119.11,04/23/2026
04/22/2026,"YOU SOLD OPENING TRANSACTION PUT (NOK) NOKIA OYJ ADR EACH APR 24 26 $9.5 (100 SHS) (Cash)", -NOK260424P9.5,"PUT (NOK) NOKIA OYJ ADR EACH APR 24 26 $9.5 (100 SHS)",Cash,0.28,-1,0.65,0.02,,27.33,10099.78,04/23/2026
04/21/2026,"YOU SOLD OPENING TRANSACTION PUT (UAMY) UNITED STATES APR 24 26 $9.5 (100 SHS) (Cash)", -UAMY260424P9.5,"PUT (UAMY) UNITED STATES APR 24 26 $9.5 (100 SHS)",Cash,0.1,-1,0.5,0.02,,9.48,10072.45,04/22/2026
04/21/2026,"YOU SOLD OPENING TRANSACTION PUT (UAMY) UNITED STATES APR 24 26 $9.5 (100 SHS) (Cash)", -UAMY260424P9.5,"PUT (UAMY) UNITED STATES APR 24 26 $9.5 (100 SHS)",Cash,0.15,-1,0.65,0.02,,14.33,10062.97,04/22/2026
04/20/2026,"YOU SOLD OPENING TRANSACTION PUT (AG) FIRST MAJESTIC APR 24 26 $20 (100 SHS) (Cash)", -AG260424P20,"PUT (AG) FIRST MAJESTIC APR 24 26 $20 (100 SHS)",Cash,0.32,-1,0.65,0.02,,31.33,10048.64,04/21/2026
04/20/2026,"YOU BOUGHT CLOSING TRANSACTION PUT (ONDS) ONDAS INC COMMON APR 24 26 $9.5 (100 SHS) (Cash)", -ONDS260424P9.5,"PUT (ONDS) ONDAS INC COMMON APR 24 26 $9.5 (100 SHS)",Cash,0.13,1,,0.02,,-13.02,10017.31,04/21/2026
04/20/2026,"YOU SOLD OPENING TRANSACTION PUT (ONDS) ONDAS INC COMMON APR 24 26 $9.5 (100 SHS) (Cash)", -ONDS260424P9.5,"PUT (ONDS) ONDAS INC COMMON APR 24 26 $9.5 (100 SHS)",Cash,0.31,-1,0.65,0.02,,30.33,10030.33,04/21/2026
04/20/2026,"TRANSFERRED FROM VS 237-815769-1 (Cash)", ,"No Description",Cash,,0.000,,,,10000,10000.00,



"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security or insurance product by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC (NFS). Both are Fidelity Investment companies and members SIPC, NYSE. Insurance products at Fidelity are distributed by"
"Fidelity Insurance Agency, Inc., and, for certain products, by Fidelity Brokerage Services, Member NYSE, SIPC."

Date downloaded 04/26/2026 9:56 am
